Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Image Position,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Variant Image,SEO Title,SEO Description,Status
defibtech-lifeline-halfautomaat,Defibtech Lifeline halfautomaat,"<p>De Defibtech Lifeline is een halfautomatische AED die na de hartritme-analyse een schokadvies geeft en de hulpverlener met gesproken instructies door de reanimatie leidt. Het toestel is geschikt voor bedrijven, sportaccommodaties en openbare gebouwen en kan door getrainde hulpverleners en door leken worden bediend. Het apparaat meet 22 x 30 x 7 cm, weegt 1,9 kg, is IP54 beschermd tegen stof en spatwater en levert een schok van 150 J. De Nederlandstalige uitvoering wordt geleverd met batterijunit (levensduur 7 jaar), een paar elektroden, 9V statusindicatorbatterij, referentiekaart en handleiding; kinderelektroden zijn apart verkrijgbaar.</p><ul><li>Halfautomaat: schokadvies met gesproken begeleiding</li><li>Batterijunit met levensduur van 7 jaar, circa 300 schokken</li><li>IP54, 150 J, metronoom en pacemakerdetectie</li><li>22 x 30 x 7 cm, 1,9 kg</li><li>Garantie op het toestel: 5 jaar</li></ul>",Defibtech,AED & reanimatie,"AED & reanimatie, AED apparaten, btw-9",TRUE,1,Title,Default Title,defibtech-lifeline-halfautomaat,,,,continue,manual,2053.23,2281.37,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/defibtech-lifeline-halfautomaat.jpg,Defibtech Lifeline halfautomaat,,Defibtech Lifeline halfautomaat | EHBO Depot,De Defibtech Lifeline is een halfautomatische AED die na de hartritme-analyse een schokadvies geeft en de hulpverlener met gesproken instructies door de re,active
defibtech-lifeline-halfautomaat,,,,,,,2,,,,,,,,,,,,,https://ehbodepot.nl/assets/img/products/evac/defibtech-lifeline-halfautomaat-2.jpg,Defibtech Lifeline halfautomaat,,,,
philips-heartstart-frx-aed-draagtas,Philips Heartstart FRX AED + Draagtas - Nederlands,"<p>De Philips HeartStart FRx is een halfautomatische AED voor veeleisende omgevingen zoals sportvelden, zwembaden, scholen en openbare ruimtes. Het toestel is stof- en waterbestendig (IP55) en schokbestendig, begeleidt de hulpverlener met gesproken instructies in het tempo van de gebruiker en kan met Quick Shock binnen 8,1 seconden na de analyse een schok toedienen. Dagelijkse, wekelijkse en maandelijkse zelftests bewaken elektroden, batterij en elektronica; met de optionele baby/kindsleutel schakelt u over op kinderreanimatie zonder aparte elektroden. Geleverd met draagtas, verkrijgbaar met Nederlandse, Engelse of Duitse spraak.</p><ul><li>Halfautomaat met gesproken begeleiding</li><li>IP55, stof-, water- en schokbestendig</li><li>Quick Shock: schok binnen 8,1 seconden na analyse</li><li>Optionele baby/kindsleutel voor kinderreanimatie</li><li>Inclusief draagtas, spraak in NL, EN of DE</li></ul>",Philips,AED & reanimatie,"AED & reanimatie, AED tassen & koffers, btw-9",TRUE,1,Uitvoering,Nederlands,philips-heartstart-frx-aed-draagtas,,,,continue,manual,1578.04,1753.38,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/philips-heartstart-frx-aed-draagtas.jpg,Philips Heartstart FRX AED + Draagtas - Nederlands,https://ehbodepot.nl/assets/img/products/evac/philips-heartstart-frx-aed-draagtas.jpg,Philips Heartstart FRX AED + Draagtas - Nederlands,"De Philips HeartStart FRx is een halfautomatische AED voor veeleisende omgevingen zoals sportvelden, zwembaden, scholen en openbare ruimtes. Het toestel is",active
philips-heartstart-frx-aed-draagtas,,,,,,,,,Duits,philips-heartstart-frx-aed-draagtas-duits,,,,continue,manual,1578.04,1753.38,TRUE,TRUE,,,https://ehbodepot.nl/assets/img/products/evac/philips-heartstart-frx-aed-draagtas-duits.jpg,,,
philips-heartstart-frx-aed-draagtas,,,,,,,,,Engels,philips-heartstart-frx-aed-draagtas-engels,,,,continue,manual,1578.04,1753.38,TRUE,TRUE,,,https://ehbodepot.nl/assets/img/products/evac/philips-heartstart-frx-aed-draagtas-engels.jpg,,,
philips-heartstart-frx-aed-draagtas,,,,,,,2,,,,,,,,,,,,,https://ehbodepot.nl/assets/img/products/evac/philips-heartstart-frx-aed-draagtas-2.jpg,Philips Heartstart FRX AED + Draagtas - Nederlands,,,,
philips-heartstart-frx-aed-draagtas,,,,,,,3,,,,,,,,,,,,,https://ehbodepot.nl/assets/img/products/evac/philips-heartstart-frx-aed-draagtas-3.jpg,Philips Heartstart FRX AED + Draagtas - Nederlands,,,,
philips-heartstart-frx-aed-draagtas,,,,,,,4,,,,,,,,,,,,,https://ehbodepot.nl/assets/img/products/evac/philips-heartstart-frx-aed-draagtas-4.jpg,Philips Heartstart FRX AED + Draagtas - Nederlands,,,,
philips-heartstart-frx-aed-draagtas,,,,,,,5,,,,,,,,,,,,,https://ehbodepot.nl/assets/img/products/evac/philips-heartstart-frx-aed-draagtas-5.jpg,Philips Heartstart FRX AED + Draagtas - Nederlands,,,,
philips-heartstart-frx-aed-draagtas,,,,,,,6,,,,,,,,,,,,,https://ehbodepot.nl/assets/img/products/evac/philips-heartstart-frx-aed-draagtas-6.jpg,Philips Heartstart FRX AED + Draagtas - Nederlands,,,,
